环级数m,m左侧位置_mm,m右侧位置_mm,Dm_mm,Dm2_mm2,Dm2-Dn2_mm2,环级数n,n左侧位置_mm,n右侧位置_mm,Dn_mm,Dn2_mm2,R_m,ΔR_m,R_mm,ΔR_mm
24,18.917,9.4,9.517000000000001,90.57328900000002,39.779160000000005,14,17.692,10.565,7.127000000000001,50.79412900000001,1.6875598167317156,0.16711264636008805,1687.5598167317157,167.11264636008804
23,18.661,9.491,9.170000000000002,84.08890000000004,36.79577100000005,13,17.572,10.695,6.876999999999999,47.293128999999986,1.5609948667911102,0.04054769641948264,1560.9948667911103,40.547696419482634
22,18.571,9.59,8.981000000000002,80.65836100000003,36.60859200000002,12,17.457,10.82,6.6370000000000005,44.049769000000005,1.5530541320210427,0.03260696164941512,1553.0541320210427,32.606961649415126
21,18.475,9.721,8.754000000000001,76.63251600000002,35.50594700000004,11,17.325,10.912,6.4129999999999985,41.12656899999998,1.5062763872390987,-0.014170783132528841,1506.2763872390988,-14.170783132528841
20,18.381,9.825,8.556000000000001,73.20513600000001,35.074511,10,17.19,11.015,6.175000000000001,38.13062500000001,1.4879734854912607,-0.03247368488036684,1487.9734854912608,-32.47368488036684
19,18.275,9.92,8.354999999999999,69.80602499999998,34.93699999999998,9,17.04,11.135,5.904999999999999,34.86902499999999,1.4821398269132862,-0.038307343458341414,1482.1398269132862,-38.307343458341414
18,18.16,10.04,8.120000000000001,65.93440000000001,35.1319,8,16.855,11.305,5.550000000000001,30.80250000000001,1.4904081113185135,-0.030039059053114103,1490.4081113185134,-30.0390590531141
17,18.041,10.157,7.884,62.157456,34.647431,7,16.725,11.48,5.245000000000001,27.51002500000001,1.4698553792635327,-0.05059179110809486,1469.8553792635328,-50.59179110809487
16,17.932,10.265,7.666999999999998,58.78288899999997,34.900119999999966,6,16.559,11.672,4.8870000000000005,23.882769000000003,1.4805752587816037,-0.0398719115900239,1480.5752587816037,-39.8719115900239
15,17.812,10.4,7.412000000000001,54.93774400000001,35.019375,5,16.355,11.892,4.463000000000001,19.91836900000001,1.485634439165111,-0.03481273120651651,1485.634439165111,-34.81273120651651
